registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cp4a/ads/ads-credentials,"",sha256:49cab54f40843105fa0d62e3f2c36523e5a410c714ccf266c649e55e78205165,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ads/ads-gitservice,"",sha256:0a2f15082f1448ca2eb9f7ada084819c59bff615fa70e7f28241c3f31dcc964a,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ads/ads-parsing,"",sha256:d24e6bee7cb6fb74f6d6ea3a7ccbd061c0d63bb7ca6dbf4e21ca233bc4ae8489,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ads/ads-restapi,"",sha256:c5a3b3191e29c0850d07787e6f7e88522b6b29ae9128a7f49d8e45a91c22c076,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ads/ads-rrintegration,"",sha256:c8c42a1f4769e4d281b6d3f26a0cd48ae8fd8b28a150c6397c159c90ef3c036e,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ads/ads-run,"",sha256:ae8c4b076986d2d868d6e80c94d3edc277a5ccf31d4f91ac85588617d364c2fe,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ads/ads-runtime,"",sha256:790930c3b5336138e7680f3a0be4308336e6ef791664ee2cf9cbca658ef30726,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ads/dba-keytool-initcontainer,"",sha256:aa1777267edaac504e10fab8c233952adac975a739e44669aba2f4300f8f956d,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ads/dba-keytool-jobcontainer,"",sha256:99f64fab986669329443291af7d7d790070a040edabe9dd2d85cd6120fb26fb2,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ads/dba-umsregistration-initjob,"",sha256:5fd9e198f62cab1d81259b08255dc82e63ddd92eaba7593200475e3df5e351b3,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ads/mongo,"",sha256:e68a7015e548bb65d43d263b01104eb0f00c4f99afe36a3c0831880b7d3425b8,"","","","",0,CASE,"",""
icr.io,cpopen/ibm-ads-operator-bundle,"",sha256:86babaab796c29397175dcd1827d42ad2dafeb1bfb00227654794148f2318281,"","","","",0,CASE,"",""
icr.io,cpopen/ibm-ads-operator,"",sha256:a2129b12e76238a5d55bfc651a55b17ff95e0a350cad03d6c84c5a3d81ec74eb,"","","","",0,CASE,"",""
